Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,Permanent cropland (% of land area),AG.LND.CROP.ZS,,2.112621956,2.151033264,2.112621956,2.151033264,1.997388031,1.935929938,1.935929938,1.843742798,2.035799339,1.997388031,1.982023508,1.982023508,1.982023508,1.982023508,1.997388031,1.997388031,1.997388031,2.012752554,2.035799339,2.043481601,2.089575171,2.104939694,2.112621956,2.112621956,2.112621956,2.151033264,2.151033264,2.227855881,2.227855881,2.535146347,2.573557655,2.611968964,2.611968964,2.68879158,2.842436813,2.842436813,2.880848122,2.91925943,3.457017746,3.457017746,3.841130829,3.841130829,3.841130829,4.455711762,6.145809326,6.145809326,6.529922409,6.529922409,6.529922409,6.529922409,6.529922409,6.552969194,7.682261658,8.074057002,8.465852347,8.857647691,9.249443036,9.641238381,10.02535146,10.20204348,10.43251133,,
Bulgaria,BGR,Permanent cropland (% of land area),AG.LND.CROP.ZS,,3.317364187,3.471029558,3.552381813,3.561420953,3.579499232,3.597577511,3.687968905,3.651812347,3.588538371,3.480068697,3.471029558,3.452951279,3.452951279,3.525264395,3.489107837,3.498146976,3.398716442,3.27216849,3.226972792,3.163698816,3.0913857,3.000994305,2.973876887,2.964837747,2.92868119,2.838289795,2.765976679,2.711741842,2.693663563,2.711741842,2.693663563,2.558076471,2.23266745,1.952454126,1.843984453,1.798788755,1.798788755,2.530959053,2.539998192,2.277863147,2.214589171,2.095588235,1.967454261,1.94005149,1.730486009,1.675411949,1.740171255,1.694134978,1.519896831,1.510685335,1.473839352,1.464627856,1.243551953,1.169859985,1.229734709,1.298820929,1.364130435,1.40935888,1.40935888,1.400147384,1.372902542,,
Bahrain,BHR,Permanent cropland (% of land area),AG.LND.CROP.ZS,,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.797101449,5.633802817,5.633802817,5.633802817,5.633802817,5.633802817,5.633802817,5.633802817,5.633802817,5.478873239,5.323943662,5.169014085,4.944444444,4.726027397,4.513513514,4.364864865,4.16,3.960526316,3.815789474,3.661417323,3.494132986,3.337662338,3.194805195,3.047989624,2.879177378,2.734274711,2.58974359,2.570694087,2.564102564,2.547770701,2.53164557,,
"Bahamas, The",BHS,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,,
Bosnia and Herzegovina,BIH,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9296875,2.734375,2.5390625,2.44140625,2.34375,2.24609375,2.1484375,2.05078125,1.953125,1.89453125,1.875,1.85546875,1.90234375,1.85546875,1.875,1.85546875,1.7578125,1.9921875,2.05078125,1.9921875,2.05078125,2.0703125,2.0703125,2.05078125,2.03125,2.08984375,1.953125,2.0703125,2.08984375,2.109375,,
Belarus,BLR,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872230545,0.7097372,0.724573389,0.724609105,0.719729461,0.709866654,0.61135242,0.611334336,0.611295157,0.606377315,0.601491897,0.591640125,0.586741612,0.581759378,0.596341127,0.596349944,0.596347005,0.591430177,0.601275493,0.601251787,0.591427262,0.585979853,0.580372759,0.557695908,0.548308274,0.561609553,0.546851907,0.52718449,0.492659375,0.46809559,,
Belize,BLZ,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.263042525,0.306882946,0.306882946,0.306882946,0.306882946,0.306882946,0.306882946,0.438404209,0.48224463,0.657606313,0.745287155,0.876808417,1.096010522,1.183691363,1.359053047,1.49057431,1.49057431,1.49057431,1.49057431,1.49057431,1.49057431,1.578255151,1.53441473,1.49057431,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,,
Bermuda,BMU,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.136619588,0.134773378,0.127388535,0.12646543,0.129234746,0.12646543,0.129234746,0.125542324,0.123696114,0.122773008,0.132004062,0.125542324,0.120003692,0.121849903,0.118157482,0.100618481,0.099695375,0.103387797,0.106157113,0.109849534,0.109849534,0.108926429,0.11261885,0.11446506,0.12646543,0.132004062,0.144927536,0.156927905,0.166158959,0.143081326,0.171697591,0.167082064,0.164312748,0.153235484,0.152312379,0.150466168,0.157851011,0.163389643,0.155081695,0.155081695,0.161543432,0.166158959,0.178159328,0.181851749,0.18369796,0.191082803,0.202160066,0.202160066,0.202160066,0.202160066,0.202160066,0.205852488,0.210468014,0.215083541,0.226160805,0.228007016,0.228007016,0.229853226,0.233545648,0.231699437,0.231699437,,
Brazil,BRA,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.935136286,0.934896999,0.934538067,0.934298779,0.934059492,0.933820204,0.933580916,0.933341629,0.933102341,0.955236452,0.96480796,0.974379467,0.984070619,0.993642126,1.003213634,1.053105117,1.103116244,1.153007727,1.203018853,1.252910337,1.24836387,1.243817404,1.239270938,1.234724472,1.184832989,1.166048906,1.147145178,1.128361095,1.109457367,1.090673284,1.0718892,1.052985473,1.034201389,1.015297662,0.902353873,0.947339958,0.992326044,1.037312129,1.082298215,1.1272843,1.172270386,1.217256471,1.262242556,1.307228642,1.352214727,1.397320456,1.354607604,1.312014396,1.269301543,1.226588691,1.183995482,1.14128263,1.098689421,1.055976569,1.013263717,0.970670508,0.927933727,0.927957656,0.927957656,0.927957656,0.927957656,,
